16 1106 4281
15 14 133.34 410.92
0 15 106.5 437.19
1 15 473.02 417.72
4 15 -30.32001 -420.24
6 15 -350.65 461.21
7 15 -116.4 514.53
8 15 -77.10999 142.76
13 15 275.52 122.4
14 15 417.87 -298.02
0 16 306.48 566.98
1 16 729.9 503.3
2 16 -28.82001 335.19
3 16 -171.77 0.3599854
4 16 36.67999 -564.5
6 16 -161.83 667
8 16 56.81 262.22
9 16 -178.92 364.45
11 16 417.63 -192.11
13 16 429.42 245.3
14 16 606.3199 -153.27
0 17 -565.37 342.07
1 17 -218.16 491.59
5 17 -169.58 -311.75
7 17 -784.64 338.08
10 17 -817.49 497.1
13 17 -264.31 9.669983
14 17 -251.08 -408.89
15 17 -851.46 531.43
0 18 180.84 77.87
1 18 362.9399 52.60999
10 18 108.25 250.47
0 19 -196.58 376.99
1 19 145.84 435.76
2 19 -473.33 109.64
5 19 202.7 -282.81
7 19 -405.25 418.64
14 19 118.8 -371.31
0 20 127.15 -7.719971
1 20 279.63 -15.47998
2 20 287.14 53.65002
3 20 188.8101 -255.68
4 20 -295.11 -515.65
7 20 44.75 128.39
10 20 54.44 145.01
15 20 138.13 143.99
0 21 -172.01 -534.53
1 21 -154.9 -426.95
6 21 -38.39001 -693.2
7 21 -165.82 -460.6801
9 21 62.15002 -461.01
0 22 100.99 46.15002
1 22 271.36 45.08002
4 22 -252.65 -493.6
5 22 758.05 -614.71
6 22 63.75 103.37
7 22 8.73999 176.84
8 22 226.86 32.23999
10 22 18.77002 205.47
12 22 83.34003 155.76
13 22 457.12 -172.91
15 22 95.77002 214.2
0 23 -290.25 67.51001
1 23 -44.89001 164.84
2 23 -430.43 -188.51
4 23 -207.52 -169.77
7 23 -435.21 100.66
8 23 -290.93 -170.93
13 23 9 -213.2
15 23 -424.62 188.87
0 24 553.12 188.61
1 24 839.53 42.97998
2 24 437.2 145.45
3 24 300.8 -170.57
6 24 346.57 327.96
7 24 379.04 352.46
8 24 418.96 92.67999
9 24 234.78 218.69
10 24 532.51 419.67
12 24 434.9301 336.4
13 24 751.3101 -38.42999
15 24 719.8101 475.32
0 25 607.36 -270.36
1 25 729.24 -450.23
7 25 513.28 -66.28998
12 25 659.0699 -118.2
0 26 314.64 568.22
1 26 739.33 502.59
2 26 -21.84003 336.79
3 26 -164.78 1.950012
4 26 37.02002 -570.09
5 26 715.15 -69.46002
6 26 -153.49 670.1
9 26 -172.86 366.08
11 26 424.51 -190.73
13 26 435.66 246.82
14 26 614.13 -151.44
0 27 -12.82001 -38.71002
1 27 138.1801 -5.429993
2 27 141.47 -25.89001
3 27 57.39001 -335
6 27 -41.45001 -32.69
7 27 -92.40997 71.42999
8 27 145.07 -68.14001
10 27 -103.65 94.64001
12 27 -29.10999 21.33002
13 27 362.0699 -256.67
15 27 -46.5 82.72
0 28 -99.52002 183.32
1 28 178.7 222.8
8 28 -162.24 -60.32001
0 29 77.78998 581.84
1 29 480.38 574.44
2 29 -227.16 351.31
3 29 -359.37 16.58002
4 29 57.76001 -414.22
5 29 482.29 -63.01001
6 29 -407.95 642.58
8 29 -107.6 271.87
9 29 -348.49 372.75
11 29 211.94 -191.59
12 29 -235.61 614.67
13 29 249.91 242.81
14 29 386.86 -150.06
0 30 -455.2 201.72
1 30 -149.74 332.33
7 30 -642.89 203.48
0 31 -290.25 73.41998
1 31 -42.97998 170.21
7 31 -436.89 105.76
15 31 -425.69 196.1
0 32 576.61 110.13
1 32 839.49 -46.78998
2 32 484.4399 77.21002
3 32 349.78 -235
6 32 396.77 248.87
7 32 413.04 281.29
8 32 456.67 36.06
9 32 276.92 163.22
10 32 567.03 329.98
12 32 482.12 259.18
13 32 784.25 -104
15 32 761.6899 368.95
0 33 -65.35999 -3.159973
1 33 103.84 43.70001
3 33 -33.22998 -334.18
4 33 -267.58 -357.63
6 33 -130.76 -18.17999
7 33 -155.87 94.51999
8 33 73.54999 -62.02002
10 33 -169.2 131.06
12 33 -112.03 37.32001
13 33 304.37 -233.53
15 33 -121.28 123.92
0 34 -558.63 373.35
1 34 -204.64 519.21
4 34 -12.84003 -39.65997
5 34 -157 -278.5
7 34 -781.5 372.19
10 34 -814.41 536.66
14 34 -239.08 -374.81
15 34 -847.81 576.61
0 35 -562.78 337.41
1 35 -216.65 486.33
4 35 -31.77002 -32.90997
5 35 -167.56 -317.37
7 35 -780.59 333
10 35 -813.08 491.54
11 35 -353.48 -405.85
13 35 -262.17 5.5
14 35 -248.96 -414.11
15 35 -846.89 525.32
0 36 -258.49 417.61
1 36 94.07001 491.21
2 36 -537.68 160.67
4 36 -13.09998 -203.57
5 36 145 -237.72
7 36 -473.26 454.69
8 36 -361.18 115.62
10 36 -447.57 614.87
11 36 -82.28003 -339.15
12 36 -577.83 372.46
14 36 61.03998 -327.2
0 37 45.85999 562.36
1 37 441.1801 562.29
8 37 -129.98 254.65
9 37 -370.18 353.76
11 37 184.69 -208.8
12 37 -266.32 587.94
0 38 -290.25 73.41998
1 38 -42.97998 170.21
7 38 -436.89 105.76
15 38 -425.69 196.1
0 39 -426 413.09
1 39 -70.48999 526.63
7 39 -645.98 430.82
8 39 -505.63 106.73
12 39 -775.29 340.9
13 39 -148.33 76.28998
14 39 -103.56 -333.09
0 40 -420.39 321.37
1 40 -85.44 436.21
7 40 -626.13 332.73
10 40 -631.35 483.32
11 40 -229.16 -424.61
15 40 -642.33 520.51
0 41 -430.56 472.96
1 41 -61.25 585.4
2 41 -720.19 229.86
5 41 -17.70001 -176.61
7 41 -659.54 494.54
8 41 -510.76 165.65
12 41 -791.33 415.78
14 41 -101.28 -270.37
0 42 -304.76 356.55
1 42 33.81 442.96
5 42 92.82001 -303.24
7 42 -512.04 384.77
10 42 -495.13 535.76
12 42 -621.25 288.41
0 43 194.09 344.83
1 43 535.35 300.82
6 43 -209.25 372.43
10 43 98.66998 569.47
0 44 -44.88 262.76
1 44 261.49 284.48
7 44 -231.68 324.78
10 44 -173.71 447.25
15 44 -113.35 489.21
0 45 190.67 -93.81
1 45 318.17 -120.75
4 45 -370.24 -566.3101
6 45 204.28 -24.96002
7 45 119.9 52.44
8 45 335.46 -71.94
10 45 136.8 51.73999
12 45 225.2 18.48999
13 45 550.67 -287.74
15 45 236.59 35.47998
0 46 -526.38 434.94
1 46 -160.74 570.41
7 46 -756.46 443.25
8 46 -596.91 126.56
10 46 -783.81 616.43
14 46 -198.52 -309.66
0 47 88.76001 -167.32
1 47 193.67 -160.44
3 47 222.88 -419.6801
6 47 130.37 -136.78
7 47 34.70001 -36.46002
10 47 27.14001 -43.23999
12 47 138.42 -91.57001
13 47 475.4301 -359.83
15 47 107.12 -77.69
0 48 353.52 524.13
1 48 770.83 445.25
2 48 16.26001 290.5
3 48 -129.04 -41.59998
5 48 756.61 -114.22
6 48 -104.56 623.27
8 48 94.13 227.83
9 48 -138.87 326.78
11 48 465.6 -226.12
12 48 57.82001 583.51
13 48 468.72 212.97
14 48 655.8101 -193.64
0 49 219.66 -106.35
1 49 344.97 -142.71
2 49 398.63 -40.07001
3 49 297 -341.93
6 49 233.71 -31.52002
7 49 148.95 44.17999
8 49 358.19 -81.41998
10 49 171.62 40.95001
12 49 258.4399 9.77002
13 49 575.4301 -297.11
15 49 278.29 22.40002
0 50 73.28003 -224.59
1 50 158.47 -211.01
3 50 243.24 -469.54
4 50 -449.94 -471.66
6 50 143.06 -201.29
7 50 31.54999 -94.33002
8 50 290.08 -194.99
10 50 14.32001 -110.58
12 50 144.13 -157.99
13 50 473.3 -409.95
15 50 93.14001 -156.97
0 51 -84.08002 -102.38
1 51 54.01001 -46.28998
2 51 80.32001 -122.65
3 51 0.5100098 -430.14
6 51 -104.77 -135.52
7 51 -154.86 -6.590027
10 51 -179.71 13.46002
12 51 -97.84003 -79.65997
15 51 -133.5 -13.17999
0 52 80.42999 -168.24
1 52 185.41 -158.86
2 52 302.29 -123.89
3 52 214.41 -424.1801
4 52 -408.05 -475.42
6 52 121.18 -141.26
7 52 26.22998 -39.04999
8 52 272.42 -152.57
10 52 17.16998 -45.21002
12 52 128.74 -95.79999
13 52 467.97 -361.35
15 52 96.04999 -80.09998
0 53 -495.23 379.61
1 53 -143.96 510.68
14 53 -175.53 -368.86
0 54 -214.97 400.09
1 54 133.01 463.21
2 54 -493.02 138.9
4 54 -26.51001 -225.87
5 54 186.78 -256.79
7 54 -426.92 440.97
8 54 -324.93 99.16
10 54 -392.49 597.13
11 54 -43.75 -354.9
12 54 -525.06 356.9
13 54 20.27002 73.84003
14 54 102.42 -345.71
0 55 -228.75 454.24
1 55 132.2 519.54
2 55 -509.01 204.16
4 55 4.530029 -223.66
5 55 177.77 -199.99
8 55 -338.66 150.7
11 55 -55.45001 -307.44
12 55 -549.92 419.91
13 55 9.97998 119.44
14 55 92.03003 -289.19
0 56 -107.47 85.32999
1 56 102.08 138
6 56 -260.4 50.91998
7 56 -225.2 168.71
10 56 -227.91 229.52
12 56 -215.92 105.54
15 56 -187.25 238.1
0 57 64.78998 165.52
1 57 284.6801 170.31
7 57 -57.71997 280.25
10 57 -35.06 340.77
15 57 33.96002 372.55
0 58 590.76 191.3
1 58 880.52 34.97998
6 58 393.82 345.06
7 58 416.85 362.49
0 59 -2.299988 126.65
1 59 203.46 151.64
5 59 601.9399 -528.34
6 59 -109.88 150.91
7 59 -115.66 234.7
10 59 -109.84 288.92
12 59 -79.97998 204.95
13 59 342.23 -117.33
15 59 -53.67999 310.13
0 60 -431.33 441.53
1 60 -69.03998 555.29
11 60 -232.32 -317.36
12 60 -786.71 376.34
0 61 103.16 -92.47998
1 61 231.42 -91.94
4 61 -354.43 -493.9301
6 61 115.05 -49.96997
7 61 34.58002 39.69
8 61 266.54 -84.26001
9 61 136.73 60.41998
15 61 116.89 25.76001
0 62 -141.92 447.66
1 62 217.9301 492.08
2 62 -422.61 197.53
7 62 -359.91 498.71
12 62 -451.02 426
14 62 175.54 -293.98
0 63 128.46 -314.23
1 63 194 -317.74
7 63 93.87 -178.96
9 63 224.21 -145.28
15 63 182.5699 -271.29
0 64 -25.35999 542.87
1 64 361.54 559.6
0 65 -280.03 51.62
1 65 -41.40997 147.14
0 66 114.15 79.26999
1 66 296.02 73.59003
2 66 232.5601 125.16
6 66 61.26001 141.46
15 66 109.65 261.05
0 67 139.3 -140.23
1 67 251.91 -150.16
10 67 82.48999 -6.349976
0 68 174.88 -204.88
1 68 266.59 -225
10 68 130.19 -77.19
0 69 -247.26 -491.41
1 69 -207.46 -362.78
6 69 -155.98 -684.42
0 70 97 501.05
1 70 479.96 485.75
8 70 -87.16998 201.71
11 70 235.49 -259.24
12 70 -200.8 523.2
14 70 407.11 -231.23
0 71 -198.45 -452.34
1 71 -149.42 -343.49
6 71 -125.21 -619.12
15 71 -239.59 -501.63
0 72 478.05 287.07
1 72 806.4 165.67
7 72 280.16 426.91
10 72 437.0699 529.98
0 73 -302.1 326.73
1 73 29.65997 413
5 73 92.40002 -336.26
7 73 -505.05 353.67
15 73 -477.95 543.88
0 74 350.1801 469.47
1 74 750.72 387.47
0 75 280.42 -285.16
1 75 356.95 -341.65
2 75 501.51 -236.57
10 75 259.48 -157.59
15 75 387.13 -212.96
0 76 546.97 166.31
1 76 826.04 21.46997
3 76 298.1801 -195.84
7 76 375.3199 330.08
10 76 527.4301 393.02
15 76 713.78 442.85
0 77 598.1899 146.35
1 77 873.6899 -14.96997
2 77 498.88 125.37
6 77 413.8 298.19
7 77 429.74 320.6
8 77 469.16 74.26001
9 77 287.84 204.17
15 77 787.5699 423.02
0 78 -135.1 281.05
1 78 179.38 326.09
7 78 -326.51 330
11 78 28.95001 -463.5
0 79 -73.40997 -62.17999
1 79 75.90997 -10.70001
7 79 -152.1 36.08002
10 79 -172.04 61.34998
15 79 -124.72 42.57001
0 80 79.03998 -155.36
1 80 187.4399 -145.6
7 80 23.20001 -25.98999
10 80 14.57001 -30.22998
15 80 92.16998 -62.62
0 81 173.24 -136.14
1 81 287.51 -157.07
7 81 110.59 8.210022
10 81 121.36 1.530029
0 82 -217.85 425.77
1 82 136.27 489.11
2 82 -497.4 169.92
7 82 -433.08 467.89
14 82 100.9 -318.41
0 83 -56.40002 -124.53
1 83 72.33002 -75.45001
2 83 124.61 -133.57
7 83 -121.67 -23.40997
9 83 3.26001 -20.91998
10 83 -145.32 -9.429993
15 83 -93.46002 -39.46997
0 84 -480 118.72
1 84 -201.03 261.85
4 84 -158.8 -57.70001
7 84 -650.03 117.75
10 84 -675.27 232.64
13 84 -176.47 -181.62
0 85 242.1801 -217.28
1 85 329.46 -259.2
7 85 193.42 -57.85999
10 85 208.9301 -84.10999
15 85 323.11 -125.28
0 86 -4.51001 470.86
1 86 364.76 480.51
2 86 -293.13 226.05
3 86 -424.59 -105.32
6 86 -478.68 481.98
7 86 -227.54 537.55
8 86 -161.84 171.01
11 86 144.34 -289.61
12 86 -304.17 473.51
0 87 30.67999 -203.82
1 87 125.07 -177.4
6 87 85.64001 -196.23
7 87 -15.41998 -82.46002
10 87 -36.28003 -91.32001
12 87 85.54999 -149.7
15 87 33.08002 -134.69
0 88 334.33 -242.25
1 88 426.01 -318.53
6 88 380.7 -153.75
10 88 316.96 -102.67
12 88 414.3199 -124.46
15 88 454.8199 -147.86
0 89 -163.27 136.86
1 89 100.09 195.77
7 89 -321.6 187.54
10 89 -298.39 285.91
15 89 -259.68 299.86
0 90 722.83 -354.16
1 90 826.02 -583.16
7 90 635.0601 -122.62
12 90 814.85 -166.59
0 91 -448.53 319.49
1 91 -110.86 448.05
11 91 -252.66 -424.85
0 92 252.66 138.46
1 92 463.88 90.45999
10 92 185.85 328.55
15 92 295.11 361.99
0 93 -473.37 98.32999
1 93 -202.28 241.26
0 94 151.9301 -144.38
1 94 262.5601 -158.04
4 94 -402.7 -535.92
7 94 92.77002 -2.469971
10 94 98.06 -9.76001
13 94 526.97 -334
15 94 190.37 -38.02002
0 95 547.72 -378.81
1 95 617.01 -535.79
0 96 134.05 -74.35999
1 96 266.88 -83.70001
2 96 317.85 -13.89001
7 96 62.53998 63.21002
8 96 289.54 -60.89001
10 96 69.45001 68.89001
13 96 502.15 -274
15 96 156.52 54.42999
0 97 246.11 -306.44
1 97 315.27 -350.67
7 97 202.9 -151.88
10 97 221.92 -185.57
15 97 342.55 -246.43
0 98 577.13 61.28998
1 98 824.55 -98.51001
7 98 420.13 234.02
10 98 570.21 274.04
15 98 767.88 300.73
0 99 -96.81 -503.4
1 99 -74.78998 -423.46
6 99 26.67999 -624.9399
7 99 -97.25 -414.32
0 100 -55.22998 -151.14
1 100 63.60999 -101.17
12 100 -41.03998 -122.24
0 101 490.63 314.57
1 101 828.26 191.12
2 101 290.45 198.44
7 101 288.6 456.17
9 101 106.25 257.91
13 101 654.23 56.66998
0 102 -337.58 -211.61
1 102 -188.2 -80.28003
6 102 -470.72 -422.54
9 102 -338.18 -304.25
0 103 -180.83 -510.1
1 103 -154.24 -401.56
6 103 -64.71002 -671.51
7 103 -179.79 -439.15
9 103 36.54999 -447.47
0 104 371.35 335.47
1 104 720.77 242.78
10 104 308.15 577.02
0 105 73.15997 35.23999
1 105 240.79 42.48999
7 105 -16.94 161.06
10 105 -12.37 189.16
0 106 487.9301 -432.44
1 106 530.53 -565.67
0 107 -205.2 -444.37
1 107 -151.96 -332.95
6 107 -138.83 -614.1
7 107 -221.63 -380.78
15 107 -249.22 -492.51
0 108 -232.13 -439.15
1 108 -174.48 -320.37
9 108 -64.29999 -419.84
0 109 340.89 -159.99
1 109 454.0601 -236.56
7 109 271.34 10.16998
10 109 316.3 -8.25
12 109 400.72 -22.53998
15 109 452.79 -35.02002
0 110 159.77 480.47
1 110 541.85 448.61
2 110 -144.63 239.37
6 110 -299.44 529.01
7 110 -70.09998 564.3
8 110 -39.02002 184.66
13 110 316.6899 162.59
14 110 469 -249.79
0 111 486.4 278.83
1 111 812.0699 154.08
7 111 289.38 420.02
13 111 653.7 24.63
0 112 -193.42 207.16
1 112 96.91998 270.59
0 113 569.88 -6.469971
1 113 796.22 -167.53
6 113 419.18 114.54
7 113 422.11 166.73
10 113 568.55 193.85
0 114 448.66 322.7
1 114 787.49 210.4
10 114 400.02 569.33
13 114 611.8101 57.95001
0 115 -461.49 133.29
1 115 -179 270.58
4 115 -153.24 -68.94
0 116 -434.29 25.98999
1 116 -192.23 164.5
10 116 -608.13 126.28
0 117 -660.87 -502.54
1 117 -565.43 -243.88
0 118 199.37 -10.47998
1 118 351.78 -40.76001
15 118 237.52 150.49
0 119 -85.76001 -555.45
1 119 -84.08002 -474.9399
4 119 -704.23 -318.67
7 119 -72.78998 -462.1801
9 119 154.5 -440.17
0 120 177.71 -243.23
1 120 255.98 -263.17
7 120 135.78 -94.83002
10 120 137.25 -121
15 120 237.88 -168.88
0 121 642.8101 -270.25
1 121 768.8199 -463.79
7 121 545.58 -61.26001
10 121 676.0601 -103.12
12 121 695.49 -109.44
0 122 523.16 -298.8
1 122 623.46 -446.24
0 123 356.4 450.02
1 123 752.15 365.05
0 124 -3.280029 473.86
1 124 366.8101 483.36
2 124 -291.82 229.46
5 124 400.6 -177.48
6 124 -477.33 486.33
7 124 -226.71 540.69
8 124 -159.98 174.03
12 124 -302.88 476.89
0 125 3.73999 493.63
1 125 378.99 501.8
2 125 -287.56 252.76
5 125 407.58 -156.66
6 125 -473.58 513.54
7 125 -222.34 561.91
11 125 150.68 -268.81
14 125 316.55 -242.24
0 126 547.24 131.32
1 126 815.64 -15.88
2 126 446.3101 83.87
7 126 381.22 296.15
15 126 718.67 393.67
0 127 -249.41 -454.84
1 127 -196.11 -329.01
4 127 -574.68 -191.06
6 127 -183.57 -645.74
7 127 -263.27 -399.36
9 127 -68.39001 -436.96
0 128 494.87 293.72
1 128 826.09 168.05
6 128 206.97 413.17
7 128 295.84 436.71
13 128 660.84 39.28003
0 129 365.3 492.52
1 129 775.13 408.05
11 129 481.23 -253.2
14 129 670.8199 -226.15
0 130 -315.99 418.8
1 130 37.53003 505.8
4 130 -8.309998 -172.58
7 130 -531.68 448.78
10 130 -517.74 611.09
11 130 -132.91 -338.57
13 130 -59.66998 85.34
14 130 5.169983 -327.15
0 131 -83.06 488.74
1 131 288.1899 518.67
3 131 -496.94 -83.59003
5 131 322.99 -161.75
6 131 -571.24 490.36
7 131 -306.79 548.18
12 131 -392.92 483.3
0 132 300.6899 -98.97998
1 132 433.15 -162.37
15 132 389.77 43.23999
0 133 184 77.12
1 133 365.76 51.16998
10 133 112.02 249.89
15 133 205.8199 268.14
0 134 385.97 -83.16998
1 134 534.21 -176.03
10 134 361.14 84.90997
15 134 507.74 75.78998
0 135 -146.47 -120.81
1 135 -10.90002 -44.84998
10 135 -250.5 -14.71997
12 135 -166.04 -118.78
15 135 -215.67 -46.60999
0 136 246.65 -209.67
1 136 336.41 -253.28
2 136 475.45 -125.3
6 136 306.99 -130.95
8 136 419.16 -155.3
10 136 213 -75.45001
15 136 327.89 -114.93
0 137 345.8 -162.86
1 137 458.24 -241.27
3 137 417.02 -375.4
6 137 372.89 -57.09003
7 137 276.9 8.289978
8 137 465.87 -112.99
10 137 322.4 -10.66998
13 137 689.89 -339.02
15 137 460.15 -38.29999
0 138 387.3 59.72998
1 138 597.8 -34.65002
7 138 258.95 215.79
15 138 495.98 271.79
0 139 539.6801 217.06
1 139 834.51 77.26001
7 139 361.95 378.22
15 139 697.6 513.35
0 140 390.91 -200.4
1 140 507.42 -297.67
10 140 378.27 -48.82001
15 140 530.99 -84.15997
0 141 232.3 -129.09
1 141 350.13 -169.17
7 141 165.42 24.34003
10 141 188.36 16.21997
15 141 298.28 -6.77002
0 142 576.3 -319.35
1 142 673.25 -487.0601
7 142 497.83 -116.23
12 142 654.45 -174.09
15 142 807.8 -223.99
0 143 -262.89 -409.78
1 143 -191.86 -284.03
15 143 -330.21 -453.71
0 144 637.87 -89.73999
1 144 840.8 -277.54
3 144 483.0699 -402.67
7 144 500.75 100.28
8 144 557.9301 -111.71
10 144 654.52 104.91
13 144 874.12 -276.69
15 144 871.3101 99.64001
0 145 286.21 511.15
1 145 690.01 448.71
3 145 -181.49 -57.40002
9 145 -184.73 312.8
11 145 405.41 -241.61
0 146 85.47998 -13.07001
1 146 237.22 -8.700012
2 146 247.74 38.26001
7 146 4.530029 116.05
15 146 82.51001 131.17
0 147 -18.88 -73.96002
1 147 123.22 -38.26001
3 147 59.38 -376.14
7 147 -93.21002 34.41998
10 147 -107.32 53.69
12 147 -25.54999 -23.58002
13 147 360.51 -289.43
0 148 65.5 -118.77
1 148 187.73 -106.42
3 148 172.01 -386.53
7 148 0.7600098 6.400024
15 148 69.31 -15.06
0 149 250.86 56.22998
1 149 429.42 9.530029
10 149 191.78 232.43
15 149 301.21 248.77
0 150 210.42 18.77002
1 150 373.3101 -15.13
10 150 148.13 184.67
12 150 210.78 151.22
15 150 248.79 191.54
0 151 -461.47 141.43
1 151 -176.29 278.07
13 151 -165.08 -161.65
0 152 252.5699 449.56
1 152 634.98 392.01
2 152 -59.63 206.45
5 152 656.17 -197.9
6 152 -194.89 508.87
7 152 21.71002 542.61
11 152 381.02 -298.07
12 152 -29.53003 484.91
14 152 562.3101 -278.2
0 153 116.25 458.24
1 153 488.96 436.89
2 153 -181.02 213.48
3 153 -317.13 -118.59
5 153 518.45 -191.81
6 153 -342.86 491.32
7 153 -109.18 537.35
8 153 -69.56 163.16
12 153 -173.2 475.92
14 153 427.09 -275.19
0 154 122.52 6.969971
1 154 279.75 0.02001953
2 154 276.9301 66.38
7 154 37.77002 141.97
10 154 47.90997 161.64
15 154 130.01 163.47
0 155 607.48 118.93
1 155 874.78 -46.96997
2 155 517.39 102.36
6 155 433.29 271.44
7 155 442.58 295.73
8 155 483.4301 55.45999
9 155 303.95 185.45
10 155 602.27 343.91
12 155 517.26 281
13 155 815.4 -91.84998
15 155 804.12 386.06
0 156 12.46997 -118.74
1 156 136.26 -89.79999
4 156 -358.79 -420.69
6 156 26.02002 -111.27
12 156 31.90002 -60.40002
15 156 -1.890015 -22.29999
0 157 554.5601 -6.23999
1 157 780.71 -162.55
7 157 406.6801 163.87
10 157 550.0601 192.82
13 157 774.61 -212.16
0 158 515.51 -309.1
1 158 611.39 -453.6
0 159 -161.08 -75.60999
1 159 -7.280029 0.8200073
7 159 -241.3 4.630005
10 159 -271.73 36.04999
12 159 -206.6 -77.16998
15 159 -240.47 12.53003
0 160 549.89 75.06
1 160 800.88 -75.48999
6 160 371.97 197.57
7 160 390.97 241.82
10 160 537.9399 286.41
12 160 459.25 207.37
13 160 760.83 -139.3
15 160 728.24 315.69
0 161 555.84 163.76
1 161 834.5601 16.23999
2 161 447.26 121.94
7 161 385.2 329.42
10 161 537.97 391.9
12 161 444.72 310.69
15 161 726.21 440.88
0 162 99 -17.71002
1 162 249.1801 -16.84998
2 162 263.36 37.28003
4 162 -297.98 -492.47
8 162 245.49 -17.70001
10 162 23.25 130.76
15 162 101.09 126.63
0 163 -18.03998 -130.57
1 163 103.95 -92.22998
2 163 180.31 -116.23
7 163 -79.77002 -20.14001
8 163 171.51 -144.55
9 163 48.97998 -4.26001
10 163 -100.57 -12.04999
13 163 373.71 -336.98
15 163 -41.71002 -42.32001
0 164 171.8199 -243.77
1 164 249.88 -261.77
2 164 427.29 -172.9
6 164 249.4 -190.98
7 164 130.56 -96.48999
8 164 375.67 -195.45
10 164 130.35 -122.35
12 164 260.24 -153.45
13 164 561.5699 -420.7
15 164 230.08 -170.38
0 165 -106.51 -218.63
1 165 3.369995 -152.29
8 165 87.45001 -274.46
9 165 -28.91998 -146.96
15 165 -146.42 -173.26
0 166 -6.419983 474.93
1 166 364.3 485.32
2 166 -295.37 231.19
3 166 -426.68 -100.3
5 166 397.21 -176.23
7 166 -229.9 541.47
0 167 -814.99 10.65997
1 167 -525.42 246.59
0 168 -329.47 221.92
1 168 -26.98999 319.62
7 168 -515.35 242.53
13 168 -65.96997 -86.33002
14 168 -13.12 -544
0 169 -10.70001 147.75
1 169 205.04 174.3
10 169 -121.26 312.71
